classification,seller_institution_id,seller_name,loanbook_ref,loan_id,borrower_id,borrower_display_name,vehicle_type,state,origination_date,as_of_date,original_principal_inr,principal_outstanding_inr,annual_interest_rate_percent,original_term_months,instalments_paid,scheduled_instalment_inr,days_past_due,missed_instalments
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0015,SYN-A-BR-0015,Synthetic Borrower A0015,Electric two-wheeler,Maharashtra,2025-07-15,2026-09-15,277277.51,211655.86,14.0,48,14,7577.02,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0016,SYN-A-BR-0016,Synthetic Borrower A0016,Electric two-wheeler,Karnataka,2025-08-15,2026-09-15,295588.29,203724.58,15.0,36,13,10246.67,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0017,SYN-A-BR-0017,Synthetic Borrower A0017,Electric two-wheeler,Tamil Nadu,2025-09-15,2026-09-15,313899.08,253035.8,16.0,48,12,8895.99,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0018,SYN-A-BR-0018,Synthetic Borrower A0018,Electric two-wheeler,Maharashtra,2025-01-15,2026-09-15,167412.84,89614.29,17.0,36,19,5968.72,30,1
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0019,SYN-A-BR-0019,Synthetic Borrower A0019,Electric two-wheeler,Karnataka,2025-02-15,2026-09-15,185723.62,127531.25,18.0,48,19,5455.63,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0020,SYN-A-BR-0020,Synthetic Borrower A0020,Electric two-wheeler,Tamil Nadu,2025-03-15,2026-09-15,204034.39,112628.48,14.0,36,18,6973.41,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0021,SYN-A-BR-0021,Synthetic Borrower A0021,Electric two-wheeler,Maharashtra,2025-04-15,2026-09-15,222345.17,158223.6,15.0,48,17,6188.03,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0022,SYN-A-BR-0022,Synthetic Borrower A0022,Electric two-wheeler,Karnataka,2025-05-15,2026-09-15,240655.95,147674.43,16.0,36,16,8460.75,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0023,SYN-A-BR-0023,Synthetic Borrower A0023,Electric two-wheeler,Tamil Nadu,2025-06-15,2026-09-15,258966.73,195888.99,17.0,48,15,7472.5,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0024,SYN-A-BR-0024,Synthetic Borrower A0024,Electric two-wheeler,Maharashtra,2025-07-15,2026-09-15,277277.52,200789.72,18.0,36,12,10024.25,66,2
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0025,SYN-A-BR-0025,Synthetic Borrower A0025,Electric two-wheeler,Karnataka,2025-08-15,2026-09-15,295588.29,231015.34,14.0,48,13,8077.39,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0026,SYN-A-BR-0026,Synthetic Borrower A0026,Electric two-wheeler,Tamil Nadu,2025-09-15,2026-09-15,313899.07,224420.84,15.0,36,12,10881.41,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0027,SYN-A-BR-0027,Synthetic Borrower A0027,Electric two-wheeler,Maharashtra,2025-01-15,2026-09-15,167412.83,110261.79,16.0,48,20,4744.53,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0028,SYN-A-BR-0028,Synthetic Borrower A0028,Electric two-wheeler,Karnataka,2025-02-15,2026-09-15,185723.62,99415.85,17.0,36,19,6621.55,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0029,SYN-A-BR-0029,Synthetic Borrower A0029,Electric two-wheeler,Tamil Nadu,2025-03-15,2026-09-15,204034.39,143939.17,18.0,48,18,5993.51,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0030,SYN-A-BR-0030,Synthetic Borrower A0030,Electric two-wheeler,Maharashtra,2025-04-15,2026-09-15,222345.17,146702.33,14.0,36,14,7599.23,93,3
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0031,SYN-A-BR-0031,Synthetic Borrower A0031,Electric two-wheeler,Karnataka,2025-05-15,2026-09-15,240655.96,175754.49,15.0,48,16,6697.64,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0032,SYN-A-BR-0032,Synthetic Borrower A0032,Electric two-wheeler,Tamil Nadu,2025-06-15,2026-09-15,258966.72,165804.3,16.0,36,15,9104.5,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0033,SYN-A-BR-0033,Synthetic Borrower A0033,Electric two-wheeler,Maharashtra,2025-07-15,2026-09-15,277277.51,214699.01,17.0,48,14,8000.85,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0034,SYN-A-BR-0034,Synthetic Borrower A0034,Electric two-wheeler,Karnataka,2025-08-15,2026-09-15,295588.3,206573.94,18.0,36,13,10686.23,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0035,SYN-A-BR-0035,Synthetic Borrower A0035,Electric two-wheeler,Tamil Nadu,2025-09-15,2026-09-15,313899.07,250975.73,14.0,48,12,8577.76,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0036,SYN-A-BR-0036,Synthetic Borrower A0036,Electric two-wheeler,Maharashtra,2025-01-15,2026-09-15,167412.84,88385.63,15.0,36,19,5803.42,30,1
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0037,SYN-A-BR-0037,Synthetic Borrower A0037,Electric two-wheeler,Karnataka,2025-02-15,2026-09-15,185723.61,125906.38,16.0,48,19,5263.46,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0038,SYN-A-BR-0038,Synthetic Borrower A0038,Electric two-wheeler,Tamil Nadu,2025-03-15,2026-09-15,204034.38,114864.54,17.0,36,18,7274.38,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0039,SYN-A-BR-0039,Synthetic Borrower A0039,Electric two-wheeler,Maharashtra,2025-04-15,2026-09-15,222345.18,160973.58,18.0,48,17,6531.39,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0040,SYN-A-BR-0040,Synthetic Borrower A0040,Electric two-wheeler,Karnataka,2025-05-15,2026-09-15,240655.95,145964.21,14.0,36,16,8225.05,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0041,SYN-A-BR-0041,Synthetic Borrower A0041,Electric two-wheeler,Tamil Nadu,2025-06-15,2026-09-15,258966.73,193910.46,15.0,48,15,7207.24,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0042,SYN-A-BR-0042,Synthetic Borrower A0042,Electric two-wheeler,Maharashtra,2025-07-15,2026-09-15,277277.51,199093.86,16.0,36,12,9748.25,66,2
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0043,SYN-A-BR-0043,Synthetic Borrower A0043,Electric two-wheeler,Karnataka,2025-08-15,2026-09-15,295588.29,234090.18,17.0,48,13,8529.21,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0044,SYN-A-BR-0044,Synthetic Borrower A0044,Electric two-wheeler,Tamil Nadu,2025-09-15,2026-09-15,313899.07,227309.11,18.0,36,12,11348.2,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0045,SYN-A-BR-0045,Synthetic Borrower A0045,Electric two-wheeler,Maharashtra,2025-01-15,2026-09-15,167412.85,108740.71,14.0,48,20,4574.8,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0046,SYN-A-BR-0046,Synthetic Borrower A0046,Electric two-wheeler,Karnataka,2025-02-15,2026-09-15,185723.62,98052.81,15.0,36,19,6438.17,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0047,SYN-A-BR-0047,Synthetic Borrower A0047,Electric two-wheeler,Tamil Nadu,2025-03-15,2026-09-15,204034.39,142206.0,16.0,48,18,5782.39,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0048,SYN-A-BR-0048,Synthetic Borrower A0048,Electric two-wheeler,Maharashtra,2025-04-15,2026-09-15,222345.16,148940.91,17.0,36,14,7927.21,93,3
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0049,SYN-A-BR-0049,Synthetic Borrower A0049,Electric two-wheeler,Karnataka,2025-05-15,2026-09-15,240655.95,178620.19,18.0,48,16,7069.27,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0050,SYN-A-BR-0050,Synthetic Borrower A0050,Electric two-wheeler,Tamil Nadu,2025-06-15,2026-09-15,258966.73,164007.63,14.0,36,15,8850.87,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0051,SYN-A-BR-0051,Synthetic Borrower A0051,Electric two-wheeler,Maharashtra,2025-07-15,2026-09-15,277277.51,212679.65,15.0,48,14,7716.84,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0052,SYN-A-BR-0052,Synthetic Borrower A0052,Electric two-wheeler,Karnataka,2025-08-15,2026-09-15,295588.29,204679.45,16.0,36,13,10392.01,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0053,SYN-A-BR-0053,Synthetic Borrower A0053,Electric two-wheeler,Tamil Nadu,2025-09-15,2026-09-15,313899.06,254049.87,17.0,48,12,9057.57,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0054,SYN-A-BR-0054,Synthetic Borrower A0054,Electric two-wheeler,Maharashtra,2025-01-15,2026-09-15,167412.85,90226.69,18.0,36,19,6052.38,30,1
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0055,SYN-A-BR-0055,Synthetic Borrower A0055,Electric two-wheeler,Karnataka,2025-02-15,2026-09-15,185723.61,124259.69,14.0,48,19,5075.17,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0056,SYN-A-BR-0056,Synthetic Borrower A0056,Electric two-wheeler,Tamil Nadu,2025-03-15,2026-09-15,204034.4,113375.71,15.0,36,18,7072.92,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0057,SYN-A-BR-0057,Synthetic Borrower A0057,Electric two-wheeler,Maharashtra,2025-04-15,2026-09-15,222345.18,159147.44,16.0,48,17,6301.32,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0058,SYN-A-BR-0058,Synthetic Borrower A0058,Electric two-wheeler,Karnataka,2025-05-15,2026-09-15,240655.95,148524.88,17.0,36,16,8580.04,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0059,SYN-A-BR-0059,Synthetic Borrower A0059,Electric two-wheeler,Tamil Nadu,2025-06-15,2026-09-15,258966.74,196865.03,18.0,48,15,7607.15,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0060,SYN-A-BR-0060,Synthetic Borrower A0060,Electric two-wheeler,Maharashtra,2025-07-15,2026-09-15,277277.52,197378.03,14.0,36,12,9476.69,66,2
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0061,SYN-A-BR-0061,Synthetic Borrower A0061,Electric two-wheeler,Karnataka,2025-08-15,2026-09-15,295588.3,232050.35,15.0,48,13,8226.44,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0062,SYN-A-BR-0062,Synthetic Borrower A0062,Electric two-wheeler,Tamil Nadu,2025-09-15,2026-09-15,313899.08,225389.28,16.0,36,12,11035.76,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0063,SYN-A-BR-0063,Synthetic Borrower A0063,Electric two-wheeler,Maharashtra,2025-01-15,2026-09-15,167412.84,111015.45,17.0,48,20,4830.7,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0064,SYN-A-BR-0064,Synthetic Borrower A0064,Electric two-wheeler,Karnataka,2025-02-15,2026-09-15,185723.62,100095.23,18.0,36,19,6714.35,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0065,SYN-A-BR-0065,Synthetic Borrower A0065,Electric two-wheeler,Tamil Nadu,2025-03-15,2026-09-15,204034.39,140447.63,14.0,48,18,5575.54,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0066,SYN-A-BR-0066,Synthetic Borrower A0066,Electric two-wheeler,Maharashtra,2025-04-15,2026-09-15,222345.18,147452.04,15.0,36,14,7707.67,93,3
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0067,SYN-A-BR-0067,Synthetic Borrower A0067,Electric two-wheeler,Karnataka,2025-05-15,2026-09-15,240655.96,176717.72,16.0,48,16,6820.26,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0068,SYN-A-BR-0068,Synthetic Borrower A0068,Electric two-wheeler,Tamil Nadu,2025-06-15,2026-09-15,258966.72,166697.01,17.0,36,15,9232.87,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0069,SYN-A-BR-0069,Synthetic Borrower A0069,Electric two-wheeler,Maharashtra,2025-07-15,2026-09-15,277277.51,215694.39,18.0,48,14,8145.03,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0070,SYN-A-BR-0070,Synthetic Borrower A0070,Electric two-wheeler,Karnataka,2025-08-15,2026-09-15,295588.29,202764.73,14.0,36,13,10102.51,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0071,SYN-A-BR-0071,Synthetic Borrower A0071,Electric two-wheeler,Tamil Nadu,2025-09-15,2026-09-15,313899.08,252011.06,15.0,48,12,8736.05,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0072,SYN-A-BR-0072,Synthetic Borrower A0072,Electric two-wheeler,Maharashtra,2025-01-15,2026-09-15,167412.84,89000.58,16.0,36,19,5885.74,30,1
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0073,SYN-A-BR-0073,Synthetic Borrower A0073,Electric two-wheeler,Karnataka,2025-02-15,2026-09-15,185723.62,126721.6,17.0,48,19,5359.06,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0074,SYN-A-BR-0074,Synthetic Borrower A0074,Electric two-wheeler,Tamil Nadu,2025-03-15,2026-09-15,204034.4,115606.02,18.0,36,18,7376.33,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0075,SYN-A-BR-0075,Synthetic Borrower A0075,Electric two-wheeler,Maharashtra,2025-04-15,2026-09-15,222345.18,157292.74,14.0,48,17,6075.91,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0076,SYN-A-BR-0076,Synthetic Borrower A0076,Electric two-wheeler,Karnataka,2025-05-15,2026-09-15,240655.96,146820.85,15.0,36,16,8342.42,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0077,SYN-A-BR-0077,Synthetic Borrower A0077,Electric two-wheeler,Tamil Nadu,2025-06-15,2026-09-15,258966.73,194904.1,16.0,48,15,7339.19,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0078,SYN-A-BR-0078,Synthetic Borrower A0078,Electric two-wheeler,Maharashtra,2025-07-15,2026-09-15,277277.51,199944.31,17.0,36,12,9885.7,66,2
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0079,SYN-A-BR-0079,Synthetic Borrower A0079,Electric two-wheeler,Karnataka,2025-08-15,2026-09-15,295588.3,235094.85,18.0,48,13,8682.91,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0080,SYN-A-BR-0080,Synthetic Borrower A0080,Electric two-wheeler,Tamil Nadu,2025-09-15,2026-09-15,313899.08,223446.83,14.0,36,12,10728.33,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0081,SYN-A-BR-0081,Synthetic Borrower A0081,Electric two-wheeler,Maharashtra,2025-01-15,2026-09-15,167412.83,109503.5,15.0,48,20,4659.22,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0082,SYN-A-BR-0082,Synthetic Borrower A0082,Electric two-wheeler,Karnataka,2025-02-15,2026-09-15,185723.62,98735.02,16.0,36,19,6529.49,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0083,SYN-A-BR-0083,Synthetic Borrower A0083,Electric two-wheeler,Tamil Nadu,2025-03-15,2026-09-15,204034.39,143075.79,17.0,48,18,5887.42,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0084,SYN-A-BR-0084,Synthetic Borrower A0084,Electric two-wheeler,Maharashtra,2025-04-15,2026-09-15,222345.17,149679.97,18.0,36,14,8038.31,93,3
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0085,SYN-A-BR-0085,Synthetic Borrower A0085,Electric two-wheeler,Karnataka,2025-05-15,2026-09-15,240655.96,174783.4,14.0,48,16,6576.28,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0086,SYN-A-BR-0086,Synthetic Borrower A0086,Electric two-wheeler,Tamil Nadu,2025-06-15,2026-09-15,258966.74,164907.82,15.0,36,15,8977.17,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0087,SYN-A-BR-0087,Synthetic Borrower A0087,Electric two-wheeler,Maharashtra,2025-07-15,2026-09-15,277277.52,213694.07,16.0,48,14,7858.12,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0088,SYN-A-BR-0088,Synthetic Borrower A0088,Electric two-wheeler,Karnataka,2025-08-15,2026-09-15,295588.3,205629.26,17.0,36,13,10538.53,0,0
